LCR	DESC	DATETIME	NO	LOCATION
71A	Traffic/DWI (Driving While Impaired)	8/6/2015 1:11	P15042610	"(35.812709717259864, -78.65169518022775)"
71A	Traffic/DWI (Driving While Impaired)	8/6/2015 1:11	P15042611	"(35.806783309540435, -78.61683873634176)"
71A	Traffic/DWI (Driving While Impaired)	8/5/2015 10:34	P15042442	"(35.79544077888822, -78.61066794145427)"
71A	Traffic/DWI (Driving While Impaired)	8/4/2015 23:14	P15042379	"(35.78862155297787, -78.65141883622303)"
71A	Traffic/DWI (Driving While Impaired)	8/2/2015 20:22	P15041955	
71A	Traffic/DWI (Driving While Impaired)	8/2/2015 19:54	P15041966	"(35.782923952276654, -78.65660896725734)"
71A	Traffic/DWI (Driving While Impaired)	8/2/2015 2:01	P15041834	"(35.8361880983432, -78.58595494985583)"
71A	Traffic/DWI (Driving While Impaired)	8/2/2015 1:35	P15041828	"(35.7802979604754, -78.60894682002166)"
71A	Traffic/DWI (Driving While Impaired)	8/2/2015 1:33	P15041827	"(35.80220416197342, -78.6206428575733)"
71A	Traffic/DWI (Driving While Impaired)	8/1/2015 21:35	P15041797	"(35.79800669191217, -78.6441637018869)"
71A	Traffic/DWI (Driving While Impaired)	8/1/2015 20:34	P15041800	"(35.76828800094345, -78.62775371555784)"
71A	Traffic/DWI (Driving While Impaired)	8/1/2015 6:50	P15041687	"(35.87050475279848, -78.62169530138961)"
71A	Traffic/DWI (Driving While Impaired)	8/1/2015 5:07	P15041683	"(35.80655225542539, -78.65497543123135)"
71A	Traffic/DWI (Driving While Impaired)	8/1/2015 3:54	P15041677	
71A	Traffic/DWI (Driving While Impaired)	8/1/2015 3:30	P15041685	"(35.784599623737435, -78.69477272664699)"
71A	Traffic/DWI (Driving While Impaired)	8/1/2015 2:47	P15041670	"(35.817032473528904, -78.65964951461306)"
71A	Traffic/DWI (Driving While Impaired)	8/1/2015 0:59	P15041656	"(35.73940704866568, -78.65029887052744)"
71A	Traffic/DWI (Driving While Impaired)	8/1/2015 0:46	P15041654	"(35.764946906845694, -78.56001047093064)"
71A	Traffic/DWI (Driving While Impaired)	7/31/2015 3:48	P15041454	"(35.78082707228148, -78.646740818822)"
71A	Traffic/DWI (Driving While Impaired)	7/31/2015 1:32	P15041451	"(35.822815476091286, -78.58811955389642)"
71A	Traffic/DWI (Driving While Impaired)	7/30/2015 5:36	P15041256	"(35.862529806497214, -78.69799956694173)"
71A	Traffic/DWI (Driving While Impaired)	7/30/2015 3:23	P15041252	"(35.815123241099656, -78.69165132020764)"
71A	Traffic/DWI (Driving While Impaired)	7/30/2015 3:05	P15041257	"(35.8840555469825, -78.74102489355545)"
71A	Traffic/DWI (Driving While Impaired)	7/29/2015 23:48	P15041244	"(35.776405668577105, -78.64211557764548)"
71A	Traffic/DWI (Driving While Impaired)	7/29/2015 22:33	P15041225	"(35.84546848004213, -78.58074909379681)"
71A	Traffic/DWI (Driving While Impaired)	7/29/2015 5:01	P15041029	"(35.87148111998252, -78.6226192924971)"
71A	Traffic/DWI (Driving While Impaired)	7/29/2015 2:28	P15041018	"(35.77767895045231, -78.67770072385251)"
71A	Traffic/DWI (Driving While Impaired)	7/29/2015 1:53	P15041016	"(35.77176786072156, -78.60068017584196)"
71A	Traffic/DWI (Driving While Impaired)	7/27/2015 16:53	P15040741	"(35.767237977333025, -78.55865176273784)"
71A	Traffic/DWI (Driving While Impaired)	7/27/2015 11:55	P15040628	"(35.84731293550877, -78.58849877724316)"
71A	Traffic/DWI (Driving While Impaired)	7/27/2015 3:56	P15040568	"(35.76945169299842, -78.61795311259557)"
71A	Traffic/DWI (Driving While Impaired)	7/27/2015 2:05	P15040558	"(35.86523081781245, -78.63662937405607)"
71A	Traffic/DWI (Driving While Impaired)	7/27/2015 0:48	P15040549	"(35.83844208314501, -78.54193774456927)"
71A	Traffic/DWI (Driving While Impaired)	7/27/2015 0:16	P15040547	"(35.816953845714885, -78.59502143606086)"
71A	Traffic/DWI (Driving While Impaired)	7/27/2015 0:13	P15040551	"(35.7680124095212, -78.62486892077764)"
71A	Traffic/DWI (Driving While Impaired)	7/26/2015 4:37	P15040409	"(35.76810945133828, -78.6457826159294)"
71A	Traffic/DWI (Driving While Impaired)	7/26/2015 2:56	P15040395	"(35.77998958224985, -78.62034582563336)"
71A	Traffic/DWI (Driving While Impaired)	7/26/2015 2:46	P15040413	"(35.76222447478161, -78.64909194898104)"
71A	Traffic/DWI (Driving While Impaired)	7/26/2015 1:39	P15040382	"(35.7682076151916, -78.64611700529825)"
71A	Traffic/DWI (Driving While Impaired)	7/26/2015 0:45	P15040374	"(35.80391048715435, -78.65376203378014)"
71A	Traffic/DWI (Driving While Impaired)	7/25/2015 23:49	P15040365	"(35.76584563377421, -78.61525610789279)"
71A	Traffic/DWI (Driving While Impaired)	7/25/2015 16:27	P15040304	"(35.78603004366127, -78.7160089453619)"
71A	Traffic/DWI (Driving While Impaired)	7/25/2015 6:48	P15040231	"(35.853655636146286, -78.60817128465263)"
71A	Traffic/DWI (Driving While Impaired)	7/25/2015 3:41	P15040229	"(35.897698476205065, -78.65083051923074)"
71A	Traffic/DWI (Driving While Impaired)	7/25/2015 2:57	P15040220	"(35.79844066014302, -78.56825956943764)"
71A	Traffic/DWI (Driving While Impaired)	7/25/2015 2:56	P15040214	"(35.82291128080388, -78.61798651475918)"
71A	Traffic/DWI (Driving While Impaired)	7/25/2015 2:27	P15040209	"(35.60753687358493, -78.74490108980429)"
71A	Traffic/DWI (Driving While Impaired)	7/25/2015 1:58	P15040204	"(35.81845003245684, -78.65122546539659)"
71A	Traffic/DWI (Driving While Impaired)	7/24/2015 21:35	P15040186	"(35.78566860257687, -78.73982109048666)"
71A	Traffic/DWI (Driving While Impaired)	7/24/2015 20:55	P15040158	"(35.83613780270899, -78.61407270854086)"
71A	Traffic/DWI (Driving While Impaired)	7/24/2015 3:31	P15039978	"(35.78885816090772, -78.64209488995753)"
71A	Traffic/DWI (Driving While Impaired)	7/24/2015 2:43	P15039980	"(35.815112924764335, -78.65398093390392)"
71A	Traffic/DWI (Driving While Impaired)	7/24/2015 0:38	P15039965	"(35.81574507197898, -78.65399870003529)"
71A	Traffic/DWI (Driving While Impaired)	7/24/2015 0:38	P15039964	"(35.767509636776865, -78.64588669573946)"
71A	Traffic/DWI (Driving While Impaired)	7/23/2015 2:30	P15039781	"(35.77800401814644, -78.63416247376264)"
71A	Traffic/DWI (Driving While Impaired)	7/23/2015 2:28	P15039778	"(35.75715256468379, -78.64989408062281)"
71A	Traffic/DWI (Driving While Impaired)	7/22/2015 1:39	P15039578	"(35.80020403706393, -78.64675815447632)"
71A	Traffic/DWI (Driving While Impaired)	7/21/2015 1:53	P15039400	"(35.76376425351649, -78.63023957398003)"
71A	Traffic/DWI (Driving While Impaired)	7/20/2015 2:12	P15039218	"(35.828647794693254, -78.5849093299589)"
71A	Traffic/DWI (Driving While Impaired)	7/19/2015 23:53	P15039208	"(35.83412814970437, -78.60401332200068)"
71A	Traffic/DWI (Driving While Impaired)	7/19/2015 7:01	P15039081	"(35.76847084942906, -78.63176260822252)"
71A	Traffic/DWI (Driving While Impaired)	7/19/2015 3:06	P15039067	"(35.78536594253824, -78.64255333116853)"
71A	Traffic/DWI (Driving While Impaired)	7/19/2015 2:59	P15039066	"(35.85827487903238, -78.68063230508399)"
71A	Traffic/DWI (Driving While Impaired)	7/19/2015 1:28	P15039048	"(35.87887802690275, -78.6962606970795)"
71A	Traffic/DWI (Driving While Impaired)	7/19/2015 0:04	P15039074	"(35.758025262018435, -78.66447982267447)"
71A	Traffic/DWI (Driving While Impaired)	7/18/2015 21:33	P15039038	"(35.765346227821105, -78.64905204830288)"
71A	Traffic/DWI (Driving While Impaired)	7/18/2015 17:38	P15038975	"(35.85580264922048, -78.58101008957347)"
71A	Traffic/DWI (Driving While Impaired)	7/18/2015 13:58	P15038932	"(35.84519606692977, -78.5718744245629)"
71A	Traffic/DWI (Driving While Impaired)	7/18/2015 3:26	P15038879	"(35.77220801347973, -78.63719307954754)"
71A	Traffic/DWI (Driving While Impaired)	7/18/2015 2:53	P15038886	"(35.745513983508175, -78.7034321211748)"
71A	Traffic/DWI (Driving While Impaired)	7/18/2015 2:51	P15038894	"(35.81631707761858, -78.65931714792113)"
71A	Traffic/DWI (Driving While Impaired)	7/18/2015 2:46	P15038874	"(35.78601955085355, -78.66012371273811)"
71A	Traffic/DWI (Driving While Impaired)	7/18/2015 2:25	P15038888	"(35.808107207339965, -78.62412194538554)"
71A	Traffic/DWI (Driving While Impaired)	7/18/2015 1:01	P15038870	"(35.820961321606, -78.66331359363782)"
71A	Traffic/DWI (Driving While Impaired)	7/17/2015 22:11	P15038834	"(35.75499084166003, -78.6120351393255)"
71A	Traffic/DWI (Driving While Impaired)	7/17/2015 3:10	P15038601	"(35.765328021142274, -78.63540089114808)"
71A	Traffic/DWI (Driving While Impaired)	7/17/2015 0:40	P15038603	"(35.78225029788204, -78.67865857375669)"
71A	Traffic/DWI (Driving While Impaired)	7/17/2015 0:27	P15038585	"(35.794792155106585, -78.70681157897383)"
71A	Traffic/DWI (Driving While Impaired)	7/16/2015 21:31	P15038557	"(35.87351682442493, -78.64363410837394)"
71A	Traffic/DWI (Driving While Impaired)	7/16/2015 21:11	P15038566	"(35.80127884887559, -78.62901424830581)"
71A	Traffic/DWI (Driving While Impaired)	7/16/2015 20:04	P15038571	"(35.90822463827266, -78.55417297633437)"
71A	Traffic/DWI (Driving While Impaired)	7/16/2015 19:55	P15038540	"(35.784686450352886, -78.64151067359228)"
71A	Traffic/DWI (Driving While Impaired)	7/16/2015 3:33	P15038382	"(35.832480547229764, -78.56184570649317)"
71A	Traffic/DWI (Driving While Impaired)	7/16/2015 1:36	P15038373	"(35.818527059157276, -78.59648146845494)"
71A	Traffic/DWI (Driving While Impaired)	7/16/2015 1:02	P15038381	"(35.82257099504007, -78.60779660541256)"
71A	Traffic/DWI (Driving While Impaired)	7/14/2015 23:43	P15038134	"(35.89331408382363, -78.62243318948076)"
71A	Traffic/DWI (Driving While Impaired)	7/14/2015 9:56	P15037997	"(35.83562247562892, -78.58151516458187)"
71A	Traffic/DWI (Driving While Impaired)	7/13/2015 23:16	P15037957	"(35.765289407842836, -78.63634234370885)"
71A	Traffic/DWI (Driving While Impaired)	7/13/2015 4:07	P15037744	"(35.78741120373617, -78.59848963620723)"
71A	Traffic/DWI (Driving While Impaired)	7/13/2015 3:41	P15037743	"(35.81046121101151, -78.6027388410991)"
71A	Traffic/DWI (Driving While Impaired)	7/13/2015 2:43	P15037741	"(35.81473754095831, -78.60336944149324)"
71A	Traffic/DWI (Driving While Impaired)	7/13/2015 1:51	P15037735	"(35.75300654236377, -78.64898723218646)"
71A	Traffic/DWI (Driving While Impaired)	7/12/2015 21:21	P15037711	"(35.81540124618265, -78.62653528428541)"
71A	Traffic/DWI (Driving While Impaired)	7/12/2015 6:38	P15037624	"(35.87630875087218, -78.73043064101506)"
71A	Traffic/DWI (Driving While Impaired)	7/12/2015 4:38	P15037610	"(35.87482895556149, -78.59744174215277)"
71A	Traffic/DWI (Driving While Impaired)	7/12/2015 4:06	P15037603	"(35.87018103088913, -78.58009633214495)"
71A	Traffic/DWI (Driving While Impaired)	7/12/2015 3:30	P15037597	"(35.84031365842528, -78.60231658086708)"
71A	Traffic/DWI (Driving While Impaired)	7/12/2015 0:10	P15037587	"(35.7371567205274, -78.57290412250228)"
71A	Traffic/DWI (Driving While Impaired)	7/11/2015 15:53	P15037498	"(35.83703777970007, -78.72179199759624)"
71A	Traffic/DWI (Driving While Impaired)	7/11/2015 5:09	P15037426	"(35.77303656435856, -78.6220055945754)"
71A	Traffic/DWI (Driving While Impaired)	7/11/2015 2:56	P15037418	"(35.77896711562622, -78.64438784870231)"
71A	Traffic/DWI (Driving While Impaired)	7/11/2015 2:32	P15037403	"(35.74671146693135, -78.58497716613222)"
71A	Traffic/DWI (Driving While Impaired)	7/11/2015 2:27	P15037404	"(35.80693203543141, -78.64775717479192)"
71A	Traffic/DWI (Driving While Impaired)	7/11/2015 2:11	P15037412	"(35.78877337796912, -78.58717202410924)"
71A	Traffic/DWI (Driving While Impaired)	7/11/2015 1:42	P15037398	"(35.80091977660319, -78.56311049744545)"
71A	Traffic/DWI (Driving While Impaired)	7/9/2015 14:54	P15037105	"(35.806557525353284, -78.61720727642002)"
71A	Traffic/DWI (Driving While Impaired)	7/9/2015 11:53	P15037075	"(35.94535320045356, -78.54010036072026)"
71A	Traffic/DWI (Driving While Impaired)	7/9/2015 5:28	P15037018	"(35.78759056085622, -78.64630259279788)"
71A	Traffic/DWI (Driving While Impaired)	7/9/2015 1:35	P15037006	"(35.89886538184482, -78.5586133198943)"
71A	Traffic/DWI (Driving While Impaired)	7/8/2015 22:07	P15037003	"(35.94087366660533, -78.56499364840808)"
71A	Traffic/DWI (Driving While Impaired)	7/8/2015 2:13	P15036812	"(35.81734657652501, -78.66118374907121)"
71A	Traffic/DWI (Driving While Impaired)	7/8/2015 0:33	P15036804	"(35.803957472257636, -78.6459969924228)"
71A	Traffic/DWI (Driving While Impaired)	7/7/2015 22:19	P15036798	"(35.773038704986014, -78.60131968648466)"
71A	Traffic/DWI (Driving While Impaired)	7/7/2015 1:54	P15036571	"(35.81572334821931, -78.69115199611043)"
71A	Traffic/DWI (Driving While Impaired)	7/7/2015 0:32	P15036574	"(35.87041372457096, -78.62396803560617)"
71A	Traffic/DWI (Driving While Impaired)	7/6/2015 20:27	P15036536	"(35.871399951267996, -78.57971089842857)"
71A	Traffic/DWI (Driving While Impaired)	7/5/2015 20:34	P15036349	"(35.84813744260083, -78.6422708067421)"
71A	Traffic/DWI (Driving While Impaired)	7/5/2015 4:09	P15036251	"(35.84333457784308, -78.68169210454708)"
71A	Traffic/DWI (Driving While Impaired)	7/5/2015 3:42	P15036246	"(35.82979935724294, -78.63567132206482)"
71A	Traffic/DWI (Driving While Impaired)	7/5/2015 2:44	P15036235	"(35.87185035783959, -78.62086807399724)"
71A	Traffic/DWI (Driving While Impaired)	7/5/2015 2:04	P15036234	"(35.77926234347948, -78.74131691089617)"
71A	Traffic/DWI (Driving While Impaired)	7/5/2015 0:48	P15036223	"(35.816370048001694, -78.65990215140975)"
71A	Traffic/DWI (Driving While Impaired)	7/4/2015 23:25	P15036205	"(35.77311281514495, -78.63877960763654)"
71A	Traffic/DWI (Driving While Impaired)	7/4/2015 21:17	P15036209	"(35.8218015976584, -78.5914495185446)"
71A	Traffic/DWI (Driving While Impaired)	7/4/2015 19:59	P15036186	"(35.82319560383985, -78.63306110807785)"
71A	Traffic/DWI (Driving While Impaired)	7/4/2015 7:52	P15036094	"(35.8348063312982, -78.66915699310145)"
71A	Traffic/DWI (Driving While Impaired)	7/4/2015 5:43	P15036092	"(35.82269485876158, -78.569688648193)"
71A	Traffic/DWI (Driving While Impaired)	7/4/2015 4:18	P15036080	"(35.799156359778145, -78.57688632286253)"
71A	Traffic/DWI (Driving While Impaired)	7/4/2015 4:13	P15036079	"(35.81140480973279, -78.61102046322357)"
71A	Traffic/DWI (Driving While Impaired)	7/4/2015 3:01	P15036082	"(35.90319915267584, -78.60273948711463)"
71A	Traffic/DWI (Driving While Impaired)	7/4/2015 3:00	P15036069	"(35.90289317658349, -78.60327505715345)"
71A	Traffic/DWI (Driving While Impaired)	7/4/2015 2:28	P15036065	"(35.80053176282885, -78.63251153865453)"
71A	Traffic/DWI (Driving While Impaired)	7/4/2015 0:54	P15036057	"(35.81052925828918, -78.6009070293711)"
71A	Traffic/DWI (Driving While Impaired)	7/3/2015 19:38	P15036009	"(35.81855460130669, -78.60149436477374)"
71A	Traffic/DWI (Driving While Impaired)	7/3/2015 11:20	P15035933	"(35.778132224076906, -78.61559054429696)"
71A	Traffic/DWI (Driving While Impaired)	7/3/2015 7:38	P15035904	"(35.78496474833746, -78.66066804848231)"
71A	Traffic/DWI (Driving While Impaired)	7/3/2015 3:05	P15035899	"(35.78600983855396, -78.64649240680168)"
71A	Traffic/DWI (Driving While Impaired)	7/3/2015 2:04	P15035890	"(35.78424662955852, -78.69058255391218)"
71A	Traffic/DWI (Driving While Impaired)	7/3/2015 1:08	P15035879	"(35.83661975980425, -78.61339641697558)"
71A	Traffic/DWI (Driving While Impaired)	7/2/2015 23:37	P15035867	"(35.78807542227271, -78.64966798278138)"
71A	Traffic/DWI (Driving While Impaired)	7/2/2015 21:53	P15035851	"(35.77878891694837, -78.68662302579989)"
71A	Traffic/DWI (Driving While Impaired)	7/2/2015 19:01	P15035815	"(35.77055992889687, -78.58284638552408)"
71A	Traffic/DWI (Driving While Impaired)	7/2/2015 4:23	P15035668	"(35.78774072833066, -78.61300282133578)"
71A	Traffic/DWI (Driving While Impaired)	7/2/2015 2:41	P15035656	"(35.79376063316021, -78.68586159855496)"
71A	Traffic/DWI (Driving While Impaired)	7/2/2015 1:54	P15035663	"(35.77818979228472, -78.6434811750708)"
71A	Traffic/DWI (Driving While Impaired)	7/1/2015 23:28	P15035628	"(35.76964259961505, -78.72332381065144)"
71A	Traffic/DWI (Driving While Impaired)	7/1/2015 20:05	P15035607	"(35.86644753301077, -78.62023380907814)"
71A	Traffic/DWI (Driving While Impaired)	7/1/2015 2:05	P15035459	"(35.82144480818111, -78.66424810613351)"
71A	Traffic/DWI (Driving While Impaired)	6/28/2015 21:15	P15035008	"(35.786818771927244, -78.71656704999504)"
71A	Traffic/DWI (Driving While Impaired)	6/28/2015 3:24	P15034898	"(35.83691249445379, -78.61263770383731)"
71A	Traffic/DWI (Driving While Impaired)	6/28/2015 3:11	P15034895	"(35.79015120612149, -78.63429243399638)"
71A	Traffic/DWI (Driving While Impaired)	6/28/2015 3:08	P15034899	"(35.83183447897399, -78.56559946034851)"
71A	Traffic/DWI (Driving While Impaired)	6/28/2015 2:41	P15034910	"(35.817729188849746, -78.6160056592366)"
71A	Traffic/DWI (Driving While Impaired)	6/28/2015 2:24	P15034889	"(35.81139261227117, -78.59396036830584)"
71A	Traffic/DWI (Driving While Impaired)	6/28/2015 2:21	P15034905	"(35.785495946908824, -78.64465461115992)"
71A	Traffic/DWI (Driving While Impaired)	6/28/2015 2:04	P15034883	"(35.75151684807657, -78.70076418634164)"
71A	Traffic/DWI (Driving While Impaired)	6/28/2015 1:41	P15034884	"(35.788214216411625, -78.66776624820592)"
71A	Traffic/DWI (Driving While Impaired)	6/28/2015 0:59	P15034874	"(35.77924641572186, -78.61354727386858)"
71A	Traffic/DWI (Driving While Impaired)	6/27/2015 22:43	P15034872	"(35.8838033061596, -78.62672274074835)"
71A	Traffic/DWI (Driving While Impaired)	6/27/2015 22:18	P15034854	"(35.8309028405138, -78.6186130160572)"
71A	Traffic/DWI (Driving While Impaired)	6/27/2015 20:51	P15034841	"(35.844971105581834, -78.57795357231356)"
71A	Traffic/DWI (Driving While Impaired)	6/27/2015 20:14	P15034835	"(35.73606152150325, -78.64010900078884)"
71A	Traffic/DWI (Driving While Impaired)	6/27/2015 17:52	P15034812	"(35.7928524596166, -78.5856536417899)"
71A	Traffic/DWI (Driving While Impaired)	6/27/2015 8:46	P15034732	"(35.81120184709037, -78.60008088183746)"
71A	Traffic/DWI (Driving While Impaired)	6/27/2015 3:34	P15034717	"(35.8027977796214, -78.62210246439425)"
71A	Traffic/DWI (Driving While Impaired)	6/27/2015 3:00	P15034704	"(35.83883541884712, -78.67388334482561)"
71A	Traffic/DWI (Driving While Impaired)	6/27/2015 2:46	P15034716	"(35.7597883920455, -78.64967650807272)"
71A	Traffic/DWI (Driving While Impaired)	6/27/2015 0:54	P15034705	"(35.80120485797132, -78.62551698643932)"
71A	Traffic/DWI (Driving While Impaired)	6/26/2015 22:53	P15034675	"(35.84976405365467, -78.61463427798721)"
71A	Traffic/DWI (Driving While Impaired)	6/26/2015 3:15	P15034507	"(35.782392233133244, -78.64748955138546)"
71A	Traffic/DWI (Driving While Impaired)	6/25/2015 19:35	P15034458	"(35.790307609895386, -78.65930492692766)"
71A	Traffic/DWI (Driving While Impaired)	6/25/2015 3:16	P15034298	"(35.78707159454632, -78.66551675762413)"
71A	Traffic/DWI (Driving While Impaired)	6/25/2015 1:59	P15034297	"(35.749717923836926, -78.6087954117453)"
71A	Traffic/DWI (Driving While Impaired)	6/24/2015 19:15	P15034234	"(35.744971933045974, -78.67852636558223)"
71A	Traffic/DWI (Driving While Impaired)	6/24/2015 4:14	P15034097	"(35.812252573612575, -78.62895385661527)"
71A	Traffic/DWI (Driving While Impaired)	6/24/2015 2:53	P15034092	"(35.780135257879685, -78.6842128476791)"
71A	Traffic/DWI (Driving While Impaired)	6/24/2015 0:13	P15034081	"(35.768538880168926, -78.6932863672499)"
71A	Traffic/DWI (Driving While Impaired)	6/23/2015 3:25	P15033907	"(35.78613771467707, -78.72812473611931)"
71A	Traffic/DWI (Driving While Impaired)	6/23/2015 1:15	P15033899	"(35.83892206362748, -78.61103129565572)"
71A	Traffic/DWI (Driving While Impaired)	6/22/2015 23:16	P15033885	"(35.83829801073947, -78.68671243659502)"
71A	Traffic/DWI (Driving While Impaired)	6/22/2015 16:02	P15033816	"(35.8397048698555, -78.67626891114398)"
71A	Traffic/DWI (Driving While Impaired)	6/22/2015 2:52	P15033684	"(35.787150840782566, -78.70310992119484)"
71A	Traffic/DWI (Driving While Impaired)	6/22/2015 0:46	P15033674	"(35.87673037500008, -78.73348721599996)"
71A	Traffic/DWI (Driving While Impaired)	6/21/2015 7:55	P15033563	"(35.78987804688421, -78.67051787042217)"
71A	Traffic/DWI (Driving While Impaired)	6/21/2015 4:04	P15033554	"(35.7992122021219, -78.56269847513745)"
71A	Traffic/DWI (Driving While Impaired)	6/21/2015 3:56	P15033548	"(35.90995310034755, -78.77797510821694)"
71A	Traffic/DWI (Driving While Impaired)	6/21/2015 3:54	P15033556	"(35.75770318187275, -78.6490268089653)"
71A	Traffic/DWI (Driving While Impaired)	6/21/2015 1:56	P15033530	"(35.84576153292354, -78.5237858746157)"
71A	Traffic/DWI (Driving While Impaired)	6/21/2015 1:07	P15033528	"(35.89362101967305, -78.5591527723638)"
71A	Traffic/DWI (Driving While Impaired)	6/20/2015 3:18	P15033357	"(35.800459178995936, -78.66440087049419)"
71A	Traffic/DWI (Driving While Impaired)	6/20/2015 1:57	P15033344	"(35.83528086026684, -78.63890543318591)"
71A	Traffic/DWI (Driving While Impaired)	6/20/2015 1:37	P15033358	"(35.84137209337626, -78.61191217137367)"
71A	Traffic/DWI (Driving While Impaired)	6/20/2015 0:36	P15033331	"(35.86175133667545, -78.62791353722055)"
71A	Traffic/DWI (Driving While Impaired)	6/19/2015 5:07	P15033138	"(35.778562116448754, -78.67735701765538)"
71A	Traffic/DWI (Driving While Impaired)	6/19/2015 2:47	P15033134	"(35.81640811939802, -78.65942834884707)"
71A	Traffic/DWI (Driving While Impaired)	6/19/2015 2:40	P15033132	"(35.85543388178025, -78.64171332170011)"
71A	Traffic/DWI (Driving While Impaired)	6/19/2015 1:59	P15033127	"(35.79600177386705, -78.64643409192101)"
71A	Traffic/DWI (Driving While Impaired)	6/19/2015 1:38	P15033123	"(35.81333200013497, -78.62658516007674)"
71A	Traffic/DWI (Driving While Impaired)	6/18/2015 3:11	P15032928	"(35.77987789128256, -78.64679783105665)"
71A	Traffic/DWI (Driving While Impaired)	6/18/2015 0:01	P15032925	"(35.85325686795354, -78.64145288934898)"
71A	Traffic/DWI (Driving While Impaired)	6/16/2015 22:27	P15032683	"(35.83520466894094, -78.63790639321046)"
71A	Traffic/DWI (Driving While Impaired)	6/16/2015 22:12	P15032682	"(35.797965739729065, -78.55767748881253)"
71A	Traffic/DWI (Driving While Impaired)	6/15/2015 20:50	P15032466	"(35.78754890847238, -78.58686763471368)"
71A	Traffic/DWI (Driving While Impaired)	6/14/2015 21:02	P15032277	"(35.77231236487624, -78.64478981754824)"
71A	Traffic/DWI (Driving While Impaired)	6/14/2015 3:54	P15032157	"(35.779977251154456, -78.65519281370804)"
71A	Traffic/DWI (Driving While Impaired)	6/14/2015 3:00	P15032141	"(35.80043150899098, -78.6333615192888)"
71A	Traffic/DWI (Driving While Impaired)	6/14/2015 2:59	P15032140	"(35.76372242618781, -78.64865170718609)"
71A	Traffic/DWI (Driving While Impaired)	6/14/2015 2:43	P15032142	"(35.80050137654569, -78.64603945110335)"
71A	Traffic/DWI (Driving While Impaired)	6/14/2015 1:13	P15032135	"(35.87174198708513, -78.57965957193471)"
71A	Traffic/DWI (Driving While Impaired)	6/13/2015 23:08	P15032122	"(35.849822401998175, -78.58131565256174)"
71A	Traffic/DWI (Driving While Impaired)	6/13/2015 22:02	P15032113	"(35.8268117640193, -78.62063696636106)"
71A	Traffic/DWI (Driving While Impaired)	6/13/2015 14:13	P15032043	"(35.74262206508881, -78.68045520060514)"
71A	Traffic/DWI (Driving While Impaired)	6/13/2015 3:06	P15031973	"(35.78623939623671, -78.6465431855098)"
71A	Traffic/DWI (Driving While Impaired)	6/13/2015 3:02	P15031993	"(35.83884610077215, -78.67486060018528)"
71A	Traffic/DWI (Driving While Impaired)	6/13/2015 2:56	P15031979	"(35.748749092961916, -78.6483215650249)"
71A	Traffic/DWI (Driving While Impaired)	6/13/2015 2:27	P15031975	"(35.77957836049308, -78.639172852604)"
71A	Traffic/DWI (Driving While Impaired)	6/13/2015 2:16	P15031969	"(35.79936564256414, -78.62486384729917)"
71A	Traffic/DWI (Driving While Impaired)	6/13/2015 1:57	P15031964	"(35.817440025663565, -78.66190179321805)"
71A	Traffic/DWI (Driving While Impaired)	6/13/2015 1:48	P15031963	"(35.825633755072744, -78.66575217466784)"
71A	Traffic/DWI (Driving While Impaired)	6/12/2015 21:48	P15031945	"(35.90700953071723, -78.72611183969711)"
71A	Traffic/DWI (Driving While Impaired)	6/12/2015 4:13	P15031755	"(35.881510328801475, -78.59854113339908)"
71A	Traffic/DWI (Driving While Impaired)	6/12/2015 0:41	P15031746	"(35.804852475204996, -78.64636161728706)"
71A	Traffic/DWI (Driving While Impaired)	6/11/2015 3:03	P15031512	"(35.8314167030196, -78.60265624352115)"
71A	Traffic/DWI (Driving While Impaired)	6/11/2015 0:20	P15031494	"(35.79906183219238, -78.5627225908848)"
71A	Traffic/DWI (Driving While Impaired)	6/10/2015 22:47	P15031490	"(35.899053328303374, -78.55844269059716)"
71A	Traffic/DWI (Driving While Impaired)	6/9/2015 7:25	P15031061	"(35.792236419431816, -78.62041888911801)"
71A	Traffic/DWI (Driving While Impaired)	6/9/2015 1:55	P15031046	"(35.751817892692024, -78.701886647898)"
71A	Traffic/DWI (Driving While Impaired)	6/8/2015 10:54	P15030896	"(35.780786826109626, -78.72565168194186)"
71A	Traffic/DWI (Driving While Impaired)	6/8/2015 0:09	P15030825	"(35.84947259465648, -78.69447977276863)"
71A	Traffic/DWI (Driving While Impaired)	6/7/2015 6:34	P15030665	"(35.85856630400008, -78.58316043599996)"
71A	Traffic/DWI (Driving While Impaired)	6/7/2015 4:11	P15030644	"(35.85507908250505, -78.58215734964301)"
71A	Traffic/DWI (Driving While Impaired)	6/7/2015 3:20	P15030638	"(35.779653589240596, -78.64105521897314)"
71A	Traffic/DWI (Driving While Impaired)	6/7/2015 2:40	P15030650	"(35.846213914836554, -78.68920339067934)"
71A	Traffic/DWI (Driving While Impaired)	6/7/2015 1:25	P15030626	"(35.78257465638082, -78.63955130149019)"
71A	Traffic/DWI (Driving While Impaired)	6/6/2015 22:47	P15030629	"(35.75153804377671, -78.70198079647186)"
71A	Traffic/DWI (Driving While Impaired)	6/6/2015 20:45	P15030584	
71A	Traffic/DWI (Driving While Impaired)	6/6/2015 19:27	P15030570	"(35.755752704651925, -78.69527204590852)"
71A	Traffic/DWI (Driving While Impaired)	6/6/2015 19:12	P15030578	"(35.837075002125324, -78.64138996267863)"
