LCR	DESC	DATETIME	NO	LOCATION
71A	Traffic/DWI (Driving While Impaired)	11/1/2015 6:21	P15060932	"(35.912966733790256, -78.78228319227108)"
71A	Traffic/DWI (Driving While Impaired)	11/1/2015 3:33	P15060901	"(35.760872453754075, -78.64998788825183)"
71A	Traffic/DWI (Driving While Impaired)	11/1/2015 3:27	P15060909	"(35.837211947257636, -78.60115923995028)"
71A	Traffic/DWI (Driving While Impaired)	11/1/2015 3:16	P15060896	"(35.87296958331829, -78.69473600984307)"
71A	Traffic/DWI (Driving While Impaired)	11/1/2015 3:03	P15060892	"(35.78915606556843, -78.6457269593409)"
71A	Traffic/DWI (Driving While Impaired)	11/1/2015 3:01	P15060895	"(35.78899285731498, -78.6762350601391)"
71A	Traffic/DWI (Driving While Impaired)	11/1/2015 2:38	P15060887	"(35.842257772759154, -78.57408886566834)"
71A	Traffic/DWI (Driving While Impaired)	11/1/2015 2:23	P15060899	"(35.79598648591969, -78.57687250696057)"
71A	Traffic/DWI (Driving While Impaired)	11/1/2015 2:03	P15060920	"(35.8051944377598, -78.62561777250157)"
71A	Traffic/DWI (Driving While Impaired)	11/1/2015 1:02	P15060864	"(35.78061075512086, -78.62277340773099)"
71A	Traffic/DWI (Driving While Impaired)	11/1/2015 0:48	P15060860	"(35.800844913607946, -78.64663164997629)"
71A	Traffic/DWI (Driving While Impaired)	10/31/2015 23:22	P15060846	"(35.81145939337083, -78.60046989733738)"
71A	Traffic/DWI (Driving While Impaired)	10/31/2015 15:53	P15060776	"(35.76646789239184, -78.73483919072241)"
71A	Traffic/DWI (Driving While Impaired)	10/31/2015 6:21	P15060690	"(35.823736211057884, -78.70603898620033)"
71A	Traffic/DWI (Driving While Impaired)	10/31/2015 3:29	P15060664	"(35.8496699179091, -78.58074872115552)"
71A	Traffic/DWI (Driving While Impaired)	10/31/2015 2:11	P15060658	"(35.80066537413407, -78.6257636990872)"
71A	Traffic/DWI (Driving While Impaired)	10/31/2015 2:07	P15060652	"(35.723144396334014, -78.82333730722434)"
71A	Traffic/DWI (Driving While Impaired)	10/31/2015 1:55	P15060662	"(35.946035190335316, -78.54927609305852)"
71A	Traffic/DWI (Driving While Impaired)	10/31/2015 1:51	P15060647	"(35.77873508672703, -78.54527441602957)"
71A	Traffic/DWI (Driving While Impaired)	10/31/2015 1:04	P15060640	"(35.78938792355416, -78.5867615514757)"
71A	Traffic/DWI (Driving While Impaired)	10/31/2015 0:08	P15060627	"(35.7952347035631, -78.69425354172881)"
71A	Traffic/DWI (Driving While Impaired)	10/30/2015 14:52	P15060542	"(35.77313943833434, -78.5911691700078)"
71A	Traffic/DWI (Driving While Impaired)	10/30/2015 1:32	P15060359	"(35.80086672239034, -78.63168947282239)"
71A	Traffic/DWI (Driving While Impaired)	10/29/2015 19:38	P15060328	"(35.763068270137744, -78.55527921422689)"
71A	Traffic/DWI (Driving While Impaired)	10/29/2015 3:43	P15060145	"(35.810631378764036, -78.60175341530476)"
71A	Traffic/DWI (Driving While Impaired)	10/29/2015 2:45	P15060133	"(35.78075613396212, -78.64562858761788)"
71A	Traffic/DWI (Driving While Impaired)	10/29/2015 1:24	P15060144	"(35.88645042365113, -78.64751335720821)"
71A	Traffic/DWI (Driving While Impaired)	10/29/2015 0:57	P15060123	"(35.76461092153185, -78.64905377564509)"
71A	Traffic/DWI (Driving While Impaired)	10/28/2015 22:24	P15060104	"(35.84287675954899, -78.68077324564068)"
71A	Traffic/DWI (Driving While Impaired)	10/28/2015 19:17	P15060065	"(35.82824863332074, -78.68896796411107)"
71A	Traffic/DWI (Driving While Impaired)	10/28/2015 12:25	P15059948	"(35.788744358686515, -78.65965803623472)"
71A	Traffic/DWI (Driving While Impaired)	10/28/2015 7:22	P15059873	"(35.93988878806561, -78.57942017680924)"
71A	Traffic/DWI (Driving While Impaired)	10/27/2015 23:46	P15059846	"(35.74658012401404, -78.67445470970415)"
71A	Traffic/DWI (Driving While Impaired)	10/27/2015 7:55	P15059696	"(35.75786402458849, -78.66512881711797)"
71A	Traffic/DWI (Driving While Impaired)	10/27/2015 0:48	P15059635	"(35.77634905981607, -78.63683861176399)"
71A	Traffic/DWI (Driving While Impaired)	10/26/2015 23:54	P15059636	"(35.8727022113459, -78.68074476419154)"
71A	Traffic/DWI (Driving While Impaired)	10/26/2015 2:47	P15059420	"(35.77967104856103, -78.64659220834506)"
71A	Traffic/DWI (Driving While Impaired)	10/25/2015 22:55	P15059403	"(35.816467889601064, -78.56806181833913)"
71A	Traffic/DWI (Driving While Impaired)	10/25/2015 4:48	P15059303	"(35.88033582117584, -78.57319927025941)"
71A	Traffic/DWI (Driving While Impaired)	10/25/2015 2:53	P15059290	"(35.835008189075346, -78.58153884040487)"
71A	Traffic/DWI (Driving While Impaired)	10/25/2015 2:31	P15059298	"(35.82557638771117, -78.66663829135857)"
71A	Traffic/DWI (Driving While Impaired)	10/24/2015 23:37	P15059276	"(35.75008781738582, -78.71885344741662)"
71A	Traffic/DWI (Driving While Impaired)	10/24/2015 5:04	P15059117	"(35.81399506589996, -78.60428230302838)"
